Name,Date,Followers,,,,,,,,,,,,,,,,
Elizabeth Warren,6/25/19,5.083,,,,,,,,,,,,,,,,
Eric Swalwell,6/25/19,0.0933,,,,,,,,,,,,,,,,
Jay Inslee,6/25/19,0.0652,,,,,,,,,,,,,,,,
Joe Biden,6/25/19,3.604,,,,,,,,,,,,,,,,
John Delaney,6/25/19,0.0224,,,,,,,,,,,,,,,,
John Hickenlooper,6/25/19,0.146,,,,,,,,,,,,,,,,
Julian Castro,6/25/19,0.221,,,,,,,,,,,,,,,,
Kamala Harris,6/25/19,2.723,,,,,,,,,,,,,,,,
Kirsten Gillibrand,6/25/19,1.427,,,,,,,,,,,,,,,,
Marianne Williamson,6/25/19,2.616,,,,,,,,,,,,,,,,
Michael Bennet,6/25/19,0.0232,,,,,,,,,,,,,,,,
Mike Gravel,6/25/19,0.0994,,,,,,,,,,,,,,,,
Pete Buttigieg,6/25/19,1.153,,,,,,,,,,,,,,,,
Seth Moulton,6/25/19,0.143,,,,,,,,,,,,,,,,
Steve Bullock,6/25/19,0.175,,,,,,,,,,,,,,,,
Tim Ryan,6/25/19,0.0223,,,,,,,,,,,,,,,,
Tulsi Gabbard,6/25/19,0.381,,,,,,,,,,,,,,,,
Amy Klobuchar,27-Jun,0.712,,,,,,,,,,,,,,,,
Beto O'Rourke,27-Jun,1.436,,,,,,,,,,,,,,,,
Bill De Blasio,27-Jun,0.16,,,,,,,,,,,,,,,,
Cory Booker,27-Jun,4.269,,,,,,,,,,,,,,,,
Elizabeth Warren,27-Jun,5.093,,,,,,,,,,,,,,,,
Jay Inslee,27-Jun,0.0695,,,,,,,,,,,,,,,,
John Delaney,27-Jun,0.0247,,,,,,,,,,,,,,,,
Julian Castro,27-Jun,0.269,,,,,,,,,,,,,,,,
Tim Ryan,27-Jun,0.0237,,,,,,,,,,,,,,,,
Tulsi Gabbard,27-Jun,0.398,,,,,,,,,,,,,,,,
Amy Klobuchar,28-Jun,0.715,,,,,,,,,,,,,,,,
Beto O'Rourke,28-Jun,1.437,,,,,,,,,,,,,,,,
Bill De Blasio,28-Jun,0.161,,,,,,,,,,,,,,,,
Cory Booker,28-Jun,4.275,,,,,,,,,,,,,,,,
Elizabeth Warren,28-Jun,5.106,,,,,,,,,,,,,,,,
Jay Inslee,28-Jun,0.0709,,,,,,,,,,,,,,,,
John Delaney,28-Jun,0.0256,,,,,,,,,,,,,,,,
Julian Castro,28-Jun,0.302,,,,,,,,,,,,,,,,
Tim Ryan,28-Jun,0.0242,,,,,,,,,,,,,,,,
Tulsi Gabbard,28-Jun,0.411,,,,,,,,,,,,,,,,
Amy Klobuchar,29-Jun,0.717,,,,,,,,,,,,,,,,
Beto O'Rourke,29-Jun,1.438,,,,,,,,,,,,,,,,
Bill De Blasio,29-Jun,0.162,,,,,,,,,,,,,,,,
Cory Booker,29-Jun,4.278,,,,,,,,,,,,,,,,
Elizabeth Warren,29-Jun,5.111,,,,,,,,,,,,,,,,
Jay Inslee,29-Jun,0.0714,,,,,,,,,,,,,,,,
John Delaney,29-Jun,0.0259,,,,,,,,,,,,,,,,
Julian Castro,29-Jun,0.309,,,,,,,,,,,,,,,,
Tim Ryan,29-Jun,0.0243,,,,,,,,,,,,,,,,
Tulsi Gabbard,29-Jun,0.416,,,,,,,,,,,,,,,,
Amy Klobuchar,30-Jun,0.718,,,,,,,,,,,,,,,,
Beto O'Rourke,30-Jun,1.438,,,,,,,,,,,,,,,,
Bill De Blasio,30-Jun,0.162,,,,,,,,,,,,,,,,
Cory Booker,30-Jun,4.286,,,,,,,,,,,,,,,,
Elizabeth Warren,30-Jun,5.116,,,,,,,,,,,,,,,,
Jay Inslee,30-Jun,0.0727,,,,,,,,,,,,,,,,
John Delaney,30-Jun,0.0262,,,,,,,,,,,,,,,,
Julian Castro,30-Jun,0.312,,,,,,,,,,,,,,,,
Tim Ryan,30-Jun,0.0245,,,,,,,,,,,,,,,,
Tulsi Gabbard,30-Jun,0.419,,,,,,,,,,,,,,,,
Andrew Yang,25-Jun,0.336,,,,,,,,,,,,,,,,
Bernie Sanders,25-Jun,9.332,,,,,,,,,,,,,,,,
Eric Swalwell,25-Jun,0.0933,,,,,,,,,,,,,,,,
Joe Biden,25-Jun,3.604,,,,,,,,,,,,,,,,
John Hickenlooper,25-Jun,0.146,,,,,,,,,,,,,,,,
Kamala Harris,25-Jun,2.723,,,,,,,,,,,,,,,,
Kirsten Gillibrand,25-Jun,1.427,,,,,,,,,,,,,,,,
Marianne Williamson,25-Jun,2.616,,,,,,,,,,,,,,,,
Michael Bennet,25-Jun,0.0232,,,,,,,,,,,,,,,,
Pete Buttigieg,25-Jun,1.153,,,,,,,,,,,,,,,,
Andrew Yang,27-Jun,0.402,,,,,,,,,,,,,,,,
Bernie Sanders,27-Jun,9.34,,,,,,,,,,,,,,,,
